	Cleavage	Brown	Mid	Late/Larvae	Metam	Adult
Aqu2.1.00001_001	0.10897917	0.141631625	0.424867634	0.072535581	0.32039795	0.215858426
Aqu2.1.00002_001	0	0	0.094898438	0.126457486	0.428676821	0.119545699
Aqu2.1.00003_001	0	0	0.049441049	0	0.901919664	0
Aqu2.1.00004_001	0	0	0	0	0.029765838	0.061004051
Aqu2.1.00005_001	0	0	0.223110648	0.101015405	0.268857353	0.39686893
Aqu2.1.00006_001	0.301052298	0	0.491123759	0.52547394	0.220187536	0
Aqu2.1.00007_001	0	0.083318294	0	0	0	0
Aqu2.1.00010_001	0	0	0.010328839	0.076588157	0	0
Aqu2.1.00011_001	4.269221759	0.546682446	0.412031323	0.293343422	0.400367071	0.563762876
Aqu2.1.00013_001	0	0	0	0	0.06164302	0.154854375
Aqu2.1.00014_001	2.235582623	6.239519251	5.588860924	8.976973793	3.7651493	5.865204217
Aqu2.1.00015_001	9.867808897	10.59806769	28.97721611	34.84159035	124.1747238	130.3330743
Aqu2.1.00017_001	0.17322894	0	0.092422206	0.008501911	0.024953402	0.103279368
Aqu2.1.00018_001	3.314417832	21.5340973	142.6662179	73.42110402	4.531602878	10.11089817
Aqu2.1.00019_001	0.549668597	0.363592027	0	0.027861474	0.161988256	0
Aqu2.1.00020_001	1.281261313	0.233244965	0	0	0	0
Aqu2.1.00021_001	2.600719867	6.831361619	4.232207092	1.183407221	3.054623305	5.381134134
Aqu2.1.00022_001	0.301052298	0	0	0	0	0
Aqu2.1.00023_001	0.988304438	0.202525411	0.819651697	0.909642785	0.685232192	0.692930557
Aqu2.1.00024_001	2.547328299	0.094603012	0	0	0	0
Aqu2.1.00025_001	0.139637129	0.047210542	0.076635075	0.277396686	0.179159737	0.134379073
Aqu2.1.00026_001	1.019628894	1.79507154	1.034068789	1.382589137	2.206483932	3.771580137
Aqu2.1.00027_001	1.538797165	0.202525411	0.768403719	0.282908471	0.403776654	0.103279368
Aqu2.1.00029_001	3.083685977	3.90458622	1.185204123	1.772108341	6.318722215	6.546906442
Aqu2.1.00030_001	3308.707502	1309.203636	897.218109	349.5382928	589.9312518	133.3676335
Aqu2.1.00031_001	0	0.161066616	0.261500612	0.120521833	0.291480263	0.135968836
Aqu2.1.00032_001	0	0	0	0	0.029202341	0.099235884
Aqu2.1.00034_001	0	0	0	0.041415187	0.10714128	0.061004051
Aqu2.1.00035_001	0	0	0	0	0	0.073375022
Aqu2.1.00036_001	1.72463062	0.81585339	0.98654714	1.695529256	13.79112355	11.46337155
Aqu2.1.00037_001	2.017145371	0.083318294	0.802685753	1.458509078	0.96899049	5.83196431
Aqu2.1.00038_001	0	0	0	0.023326168	0.45665206	0.337208362
Aqu2.1.00039_001	0.321790908	0.792369592	0.481148384	0.775381599	8.19597316	17.65219742
Aqu2.1.00040_001	0.301052298	0.607576233	0	0	0	0
Aqu2.1.00041_001	0	0	0	0	0.117801365	0
Aqu2.1.00042_001	1.064052349	0.630000741	0.138527265	0.57915479	0.958494993	0.787380096
Aqu2.1.00043_001	0	0	0.010328839	0	0.509387966	0.393854892
Aqu2.1.00044_001	0	0.550779855	0.40772372	0.088410341	0.172688233	0.077427188
Aqu2.1.00045_001	6.529527701	4.096008925	1.762288327	2.501464202	2.634308564	3.180802328
Aqu2.1.00046_001	1.912199943	0.336374523	0.051942034	0.151870562	0.070840566	0.15080221
Aqu2.1.00047_001	0.194126713	0.655005705	0.320864079	0	0.174517783	0.061004051
Aqu2.1.00048_001	3.563900241	2.34738734	1.170392607	2.759634325	3.957732816	1.901663948
Aqu2.1.00049_001	13.8046578	2.239392632	5.41600698	6.64470379	2.327795064	0.43613889
Aqu2.1.00050_001	0	0	0.019935034	0	0	0
Aqu2.1.00051_001	0.424554716	1.012627054	0	0	0.115174271	0
Aqu2.1.00052_001	1.066625649	0.083318294	0.041315355	0	0.520903091	0.073375022
Aqu2.1.00053_001	2.53718799	0.172169405	0.21787463	0	0.176612875	0.117083296
Aqu2.1.00054_001	0.688465094	0.511351671	0.470276935	0.046485127	0.149614846	0.13191667
Aqu2.1.00055_001	1.114202812	1.986485579	3.635212369	4.02958364	5.005593947	1.204247298
Aqu2.1.00056_001	0.424554716	0	0.213701305	0.077135408	0.093422865	0
Aqu2.1.00057_001	1.789445593	0.738869475	0.349242191	0.381304219	0.275916862	0.073375022
Aqu2.1.00058_001	0	0	0.010328839	0.031744474	0.116099979	0.275890274
Aqu2.1.00059_001	0.301052298	0	0.098502173	0	0.028474652	0.245985928
Aqu2.1.00060_001	2.113716493	1.859140669	2.135667451	1.421005222	0.666525174	0.769555928
Aqu2.1.00061_001	0	0.461151612	0.160009854	0.299652527	1.2411601	0.245985928
Aqu2.1.00062_001	0	0	0.029983114	0	0	0
Aqu2.1.00063_001	0.085147544	0	0.017977667	0.019241545	0	0
Aqu2.1.00064_001	2299.859298	269.6517311	518.0874474	266.2785268	314.8507595	195.4991654
Aqu2.1.00065_001	1.414030739	0.083318294	0.288533814	0.170778979	0.153102753	0.154854375
Aqu2.1.00066_001	0.054489585	0.642029492	0.123912644	0.505829943	0.336744251	0.161821016
Aqu2.1.00067_001	0.10897917	0	0	0	0	0.061004051
Aqu2.1.00070_001	3.559671862	2.505372257	0.766549768	0.832400294	1.019773505	0.794767305
Aqu2.1.00071_001	0	0	0	0	0	0.061004051
Aqu2.1.00072_001	0	0	0	0.024635629	0	0
Aqu2.1.00073_001	0	0.249954883	0.021814842	0.111306713	2.370663211	14.73641897
Aqu2.1.00074_001	0.355541883	0.75606734	0.108582763	0.520356341	0.482523738	0.669992852
Aqu2.1.00075_001	2.019818766	0.405050822	0	0.060248964	0.125483036	0.206558736
Aqu2.1.00077_001	0	0	0.054054192	0	0	0.297707651
Aqu2.1.00078_001	0	0	0	0	0.029202341	0
Aqu2.1.00079_001	0.381427094	2.046088884	0.835496313	0.691600095	1.445698872	0.883380193
Aqu2.1.00080_001	0	0	0.020657677	0.076588157	0	0
Aqu2.1.00081_001	0.227718525	0.047210542	0.200391113	0.023242564	0.121544192	0
Aqu2.1.00082_001	0	0	0	0	0.027008692	0
Aqu2.1.00085_001	1.259140901	1.738143532	0.781797581	0.286501403	1.635073891	0.346185334
