	Choanocyte	Archaeocyte	Pinacocyte
Aqu2.1.00005_001	1.690454924	0.610071293	1.346607528
Aqu2.1.00011_001	0.867982487	0.467412509	1.403512754
Aqu2.1.00014_001	2.257616249	0.805553509	1.806392575
Aqu2.1.00015_001	4.078990604	2.879127758	7.28794426
Aqu2.1.00018_001	0.948835484	0.667774664	0.757644812
Aqu2.1.00021_001	2.24049139	1.074697943	1.468492862
Aqu2.1.00026_001	1.057291241	1.220879249	0.662225013
Aqu2.1.00027_001	1.973202317	1.150803364	1.077878005
Aqu2.1.00029_001	0.768951613	2.256683298	1.294220031
Aqu2.1.00030_001	7.753993135	7.667023683	8.315990851
Aqu2.1.00036_001	2.242156672	4.326016826	3.441846551
Aqu2.1.00037_001	2.009976354	2.156548407	3.486857033
Aqu2.1.00039_001	2.021290305	2.409444709	2.341044105
Aqu2.1.00045_001	0.350724222	0.95711979	0.968584638
Aqu2.1.00048_001	1.219767928	0.737609629	0.55913746
Aqu2.1.00049_001	5.047840028	4.100646004	3.952505186
Aqu2.1.00050_001	0.879971392	0.939889156	0.830994472
Aqu2.1.00054_001	3.44327475	0.782040702	0.757644812
Aqu2.1.00055_001	0.468709937	0.885765248	0.549231574
Aqu2.1.00056_001	0.814119183	0.55862946	0.514417516
Aqu2.1.00058_001	1.654987091	0.662245634	1.232928244
Aqu2.1.00064_001	5.273825469	5.366385053	6.274172467
Aqu2.1.00065_001	0.881974952	0.681003452	0.712924868
Aqu2.1.00066_001	0.350724222	0.715670274	0.578145714
Aqu2.1.00067_001	1.185378951	0.422740605	0.350724222
Aqu2.1.00070_001	1.098656507	1.573233204	0.963860338
Aqu2.1.00073_001	4.946292733	1.2241532	1.517543423
Aqu2.1.00074_001	0.720518933	1.178385233	1.290342691
Aqu2.1.00079_001	0.593615096	1.100882246	0.727748146
Aqu2.1.00085_001	0.831424942	0.598601063	0.549231574
Aqu2.1.00086_001	0.893529454	0.617520772	0.350724222
Aqu2.1.00087_001	1.082276353	0.952777603	0.96712196
Aqu2.1.00088_001	1.389013608	1.41671273	1.20283093
Aqu2.1.00089_001	1.210598781	0.700254219	0.736438846
Aqu2.1.00094_001	1.498922838	0.769914786	1.776963225
Aqu2.1.00095_001	2.684453101	2.04308446	2.790754287
Aqu2.1.00096_001	2.181613646	2.641393337	2.745061119
Aqu2.1.00098_001	2.298676883	1.572621832	1.315660271
Aqu2.1.00099_001	0.922834892	1.710560434	1.417623674
Aqu2.1.00100_001	2.067488145	3.782549556	3.268067971
Aqu2.1.00102_001	1.379856519	2.473131809	2.132989405
Aqu2.1.00103_001	0.570363681	1.101977056	0.71661305
Aqu2.1.00110_001	0.645052312	0.702949891	0.500326654
Aqu2.1.00113_001	0.350724222	0.665748631	0.549231574
Aqu2.1.00117_001	0.933070141	1.009389923	0.963860338
Aqu2.1.00118_001	0.350724222	0.734896509	0.698834006
Aqu2.1.00124_001	0.519605619	0.82108352	0.350724222
Aqu2.1.00127_001	3.449102563	3.121512723	3.172836709
Aqu2.1.00129_001	1.522840101	0.996513414	0.863959451
Aqu2.1.00131_001	1.006942388	1.325548834	0.514417516
Aqu2.1.00132_001	0.919716913	3.719764976	2.575892149
Aqu2.1.00134_001	1.326990236	0.350724222	0.861624943
Aqu2.1.00138_001	1.211540269	1.214022049	1.002813593
Aqu2.1.00141_001	3.778682018	2.327059635	3.125110048
Aqu2.1.00144_001	0.350724222	0.741369598	0.6023965
Aqu2.1.00148_001	2.263227539	0.975295907	1.148341036
Aqu2.1.00150_001	4.577075112	3.702943881	3.088612358
Aqu2.1.00151_001	1.807692012	1.397215989	1.656876346
Aqu2.1.00154_001	0.513498082	0.829148522	0.78614039
Aqu2.1.00163_001	0.61551193	1.009142461	0.727748146
Aqu2.1.00165_001	0.473352313	0.795102202	0.548679421
Aqu2.1.00166_001	1.504433233	2.351334065	2.362668496
